Listennummer;Bundesland;Partei
1;BY;SPD
2;NW;DIE LINKE
3;RP;NPD
4;ST;FDP
5;RP;FDP
6;NI;GRÜNE
7;NW;NPD
8;BY;DIE VIOLETTEN
9;HE;FDP
10;MV;FDP
11;RP;PIRATEN
12;BY;ödp
13;BY;CSU
14;Hamburg;DIE LINKE
15;NW;SPD
16;NW;FDP
17;BY;BüSo
18;HE;DVU
19;Bremen;DIE LINKE
20;SL;CDU
21;SL;FDP
22;HE;SPD
23;SL;NPD
24;BW;GRÜNE
25;SH;SPD
26;HE;BüSo
27;SL;GRÜNE
28;BW;DIE LINKE
29;BB;NPD
30;TH;SPD
31;NW;MLPD
32;MV;NPD
33;BW;SPD
34;SH;FDP
35;BB;BüSo
36;BW;MLPD
37;SL;PIRATEN
38;SL;MLPD
39;BY;BP
40;Bremen;NPD
41;HE;CDU
42;HE;GRÜNE
43;BE;Die Tierschutzpartei
44;Hamburg;MLPD
45;BY;GRÜNE
46;Bremen;PBC
47;HE;PIRATEN
48;BB;GRÜNE
49;RP;SPD
50;Hamburg;RENTNER
51;RP;ödp
52;SN;MLPD
53;BY;DIE LINKE
54;BY;REP
55;NI;SPD
56;Bremen;DVU
57;Hamburg;FDP
58;SL;SPD
59;ST;PIRATEN
60;BW;CDU
61;Hamburg;DVU
62;RP;MLPD
63;MV;DIE LINKE
64;Hamburg;NPD
65;BW;Volksabstimmung
66;BY;MLPD
67;BY;FDP
68;BW;PIRATEN
69;BE;PIRATEN
70;BE;DKP
71;HE;Die Tierschutzpartei
72;Bremen;GRÜNE
73;RP;DIE LINKE
74;NW;GRÜNE
75;RP;CDU
76;MV;MLPD
77;Bremen;SPD
78;NI;DIE LINKE
79;ST;CDU
80;NI;NPD
81;BB;FDP
82;SN;NPD
83;SN;CDU
84;BW;REP
85;SL;DIE LINKE
86;BE;SPD
87;NI;FDP
88;BW;FDP
89;BY;RRP
90;BW;DIE VIOLETTEN
91;RP;PBC
92;NI;CDU
93;NI;DVU
94;NW;CDU
95;MV;GRÜNE
96;SN;BüSo
97;SH;RENTNER
98;HE;REP
99;MV;SPD
100;NW;FAMILIE
101;SH;CDU
102;BW;ödp
103;NI;Die Tierschutzpartei
104;SN;GRÜNE
105;BY;FAMILIE
106;NW;DVU
107;NI;ödp
108;BE;FDP
109;BE;DIE LINKE
110;HE;MLPD
111;BE;CDU
112;NI;RRP
113;HE;DIE LINKE
114;BE;BüSo
115;BE;ödp
116;Bremen;MLPD
117;BE;DVU
118;NW;RENTNER
119;NI;MLPD
120;Hamburg;SPD
121;TH;ödp
122;ST;DIE LINKE
123;BE;DIE VIOLETTEN
124;NW;Volksabstimmung
125;RP;FAMILIE
126;NW;PIRATEN
127;SL;FAMILIE
128;ST;GRÜNE
129;BB;SPD
130;BB;FWD
131;Bremen;PIRATEN
132;BW;Die Tierschutzpartei
133;SN;FDP
134;ST;NPD
135;BE;NPD
136;Bremen;RRP
137;NW;BüSo
138;SN;REP
139;TH;MLPD
140;Bremen;REP
141;BW;ADM
142;BY;Die Tierschutzpartei
143;BB;DIE LINKE
144;SL;RRP
145;RP;REP
146;BY;NPD
147;Hamburg;GRÜNE
148;BB;CDU
149;BW;BüSo
150;TH;PIRATEN
151;NW;REP
152;Hamburg;CDU
153;TH;CDU
154;TH;FDP
155;BY;PBC
156;BE;MLPD
157;ST;MLPD
158;SH;GRÜNE
159;MV;CDU
160;NW;PSG
161;BY;PIRATEN
162;BY;CM
163;Hamburg;ödp
164;HE;NPD
165;NW;ödp
166;TH;GRÜNE
167;BW;NPD
168;RP;GRÜNE
169;BW;PBC
170;ST;DVU
171;SN;SPD
172;SH;NPD
173;MV;PIRATEN
174;BB;PIRATEN
175;SH;MLPD
176;BE;REP
177;NW;ZENTRUM
178;SH;DIE LINKE
179;BB;MLPD
180;NW;RRP
181;NI;PIRATEN
182;TH;NPD
183;TH;DIE LINKE
184;SN;DIE LINKE
185;Hamburg;PIRATEN
186;SH;PIRATEN
187;SH;DVU
188;BE;GRÜNE
189;ST;SPD
190;Bremen;FDP
191;BB;DVU
192;RP;DVU
193;Bremen;CDU
194;BB;REP
195;BY;DVU
196;BE;PSG
197;TH;REP
198;BW;DVU
199;NW;Die Tierschutzpartei
200;MV;REP
