Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Per Lennart;Aae;1940;NPD;158;;
Sebastian Tobias;Abele;1987;SPD;;BY;50
Roya;Abolhassanzadeh Talischi;1959;DIE LINKE;;NW;30
Klaus;Acker;1958;NPD;;RP;10
Reinmund;Acker;1949;;216;;
Jens;Ackermann;1975;FDP;68;ST;2
Dr. Lothar Matthias;Ackermann;1953;FDP;;RP;31
Michael;Adam;1984;SPD;231;BY;43
Beate;Adler;1960;GRÜNE;30;NI;11
Michael Harald;Adomeit;1957;;15;;
Manfred August;Aengenvoort;1944;NPD;;NW;15
Werner;Ahlers;1939;VIOLETTEN;;BY;13
Jonas;Ahlgrimm;1986;DIE LINKE;174;;
Kornelia;Ahr-Wiehe;1964;FDP;;HE;38
Christian;Ahrendt;1963;FDP;13;MV;1
Dirk;Ahrens;1977;PIRATEN;;RP;3
Alois;Aigner;1962;ödp;230;BY;33
Ilse;Aigner;1964;CSU;224;BY;4
Pasquale;Aita;1974;;184;;
Jan;Aken van;1961;DIE LINKE;;HH;1
Dr. Lale;Akgün;1953;SPD;95;NW;29
Stefan;Albanesi;1972;DIE LINKE;256;;
Sönke;Albertsen;1960;;2;;
Frank;Albrecht;1967;FDP;116;NW;43
Klaus;Albrecht;1948;DIE LINKE;168;;
Richard Hermann;Albrecht;1963;BüSo;;BY;14
Wilfried;Aldag;1952;NPD;43;;
Michael;Allenstein;1963;DVU;;HE;3
Agnes;Alpers;1961;DIE LINKE;;HB;1
Peter;Altmaier;1958;CDU;297;SL;1
Fernande;Altmayer;1961;FDP;;SL;7
Gregor;Amann;1962;SPD;182;HE;13
Gerhard;Ambrosius;1940;NPD;;SL;2
Kerstin;Andreae;1968;GRÜNE;281;BW;1
Michael;Andrejewski;1959;NPD;16;;
Volker;Andresen;1945;SPD;;SH;22
Andrea;Andromidas;1949;BüSo;;HE;8
Christian;Angne;1945;FDP;;RP;21
Winfried;Anslinger;1951;GRÜNE;299;SL;5
Daniel Richard;Ansorge;1988;ödp;257;BY;13
Kornelia;Anspach-Papa;1961;CDU;;SL;9
Marta;Aparicio de Eckelmann;1952;DIE LINKE;258;BW;7
Rainer;Apel;1948;BüSo;182;HE;10
Detlef;Appel;1955;NPD;;BB;8
Johannes Peter;Appelt;1943;BüSo;;BY;15
Ron;Appelt;1988;NPD;224;;
Corinna;Appenrodt;1974;SPD;;TH;9
Feryal;Araz;1985;MLPD;;NW;7
Dirk;Arendt;1976;NPD;;MV;5
Dörthe;Armstroff;1958;NPD;209;RP;1
Holger-Michael;Arndt;1971;GRÜNE;108;;
Ingrid;Arndt-Brauer;1961;SPD;125;NW;10
Karin;Arnold;1947;RRP;246;;
Ludger;Arnold;1954;SPD;;HE;42
Rainer;Arnold;1950;SPD;262;BW;10
Ludwig;Artmeyer;1965;GRÜNE;127;;
Christine;Aschenberg-Dugnus;1959;FDP;4;SH;4
Helma;Aßmann;1939;BüSo;;BB;3
Ferit;Atan;1955;MLPD;;BW;5
Artur Friedrich;Auernhammer;1963;CSU;;BY;31
Elisabeth;August;1950;DIE LINKE;;NW;21
Andreas;Augustin;1979;PIRATEN;;SL;7
Reiner;Aulenbacher;1957;MLPD;296;SL;1
Martin;Aulila;1954;BP;;BY;12
Peter;Aumer;1976;CSU;233;;
Hüseyin Kenan;Aydin;1962;DIE LINKE;117;;
Armin;Azima;1977;BüSo;20;;
Klaus Hermann;Baade;1936;NPD;55;HB;2
Safet;Babic;1981;NPD;204;RP;2
Thomas;Bach;1961;CDU;;HE;24
Iris;Bachmann;1947;GRÜNE;;HE;17
Sabrina;Bacholke;1981;Tierschutz;;BE;4
Veronika;Backes;1956;CDU;;HE;36
Jürgen;Bader;1960;MLPD;20;HH;2
Lisa;Badum;1983;GRÜNE;236;BY;15
Dietrich Karl Ernst;Baecker;1937;PBC;;HB;1
Manfred;Bähr;1959;FDP;71;ST;3
Knut;Bänsch;1961;PIRATEN;;HE;8
Dorothee;Bär;1978;CSU;248;BY;7
Karl;Bär;1985;GRÜNE;224;BY;12
Peter;Baer;1934;;292;;
Annalena;Baerbock;1980;GRÜNE;64;BB;3
