WK;Name;#Erst;#Zweit
1;Wahlberechtigte;226944;226944
1;Wähler;162749;162749
1;Ungültige;2223;2113
1;Gültige;160526;160636
1;CDU;68235;61347
1;SPD;59718;52396
1;FDP;3039;8065
1;GRÜNE;12491;15734
1;DIE LINKE;7436;9084
1;PIRATEN;3418;3183
1;RENTNER;-;790
1;NPD;955;929
1;MLPD;-;44
1;AfD;5234;6563
1;FREIE WÄHLER;-;1042
1;Tierschutzpartei;-;1459
2;Wahlberechtigte;186177;186177
2;Wähler;131527;131527
2;Ungültige;1648;1483
2;Gültige;129879;130044
2;CDU;64678;56383
2;SPD;41714;38590
2;FDP;3172;8321
2;GRÜNE;8465;10547
2;DIE LINKE;4653;5733
2;PIRATEN;2467;2413
2;RENTNER;-;561
2;NPD;757;733
2;MLPD;-;45
2;AfD;3973;4994
2;FREIE WÄHLER;-;755
2;Tierschutzpartei;-;969
3;Wahlberechtigte;176731;176731
3;Wähler;126409;126409
3;Ungültige;1523;1451
3;Gültige;124886;124958
3;CDU;56669;52408
3;SPD;42476;37502
3;FDP;6324;7689
3;GRÜNE;6386;9485
3;DIE LINKE;4909;6286
3;PIRATEN;2674;2709
3;RENTNER;-;516
3;NPD;980;1038
3;MLPD;-;34
3;AfD;4468;5492
3;FREIE WÄHLER;-;869
3;Tierschutzpartei;-;930
4;Wahlberechtigte;198903;198903
4;Wähler;149583;149583
4;Ungültige;1743;1616
4;Gültige;147840;147967
4;CDU;66775;60349
4;SPD;54397;46658
4;FDP;2754;8126
4;GRÜNE;10306;13707
4;DIE LINKE;4902;6447
4;PIRATEN;2756;2620
4;RENTNER;-;668
4;NPD;866;854
4;MLPD;-;32
4;AfD;5084;6500
4;FREIE WÄHLER;-;716
4;Tierschutzpartei;-;1290
5;Wahlberechtigte;205243;205243
5;Wähler;146452;146452
5;Ungültige;1674;1483
5;Gültige;144778;144969
5;CDU;47925;43893
5;SPD;62271;50262
5;FDP;3069;7708
5;GRÜNE;14435;20394
5;DIE LINKE;7622;10023
5;PIRATEN;3575;3946
5;RENTNER;920;817
5;NPD;834;802
5;MLPD;-;71
5;AfD;4040;5379
5;FREIE WÄHLER;-;473
5;Tierschutzpartei;-;1201
5;K:Hohmann;87;-
6;Wahlberechtigte;174746;174746
6;Wähler;127093;127093
6;Ungültige;1681;1520
6;Gültige;125412;125573
6;CDU;54833;48683
6;SPD;47085;41094
6;FDP;2322;6722
6;GRÜNE;7979;11577
6;DIE LINKE;4708;5987
6;PIRATEN;2167;2154
6;RENTNER;-;535
6;NPD;1162;1159
6;MLPD;-;46
6;AfD;4837;5901
6;FREIE WÄHLER;-;711
6;Tierschutzpartei;-;1004
6;K:Schepke;319;-
7;Wahlberechtigte;235610;235610
7;Wähler;179055;179055
7;Ungültige;1703;1682
7;Gültige;177352;177373
7;CDU;80483;72006
7;SPD;64006;55371
7;FDP;3303;9863
7;GRÜNE;11324;15291
7;DIE LINKE;6985;8910
7;PIRATEN;3225;3370
7;RENTNER;-;665
7;NPD;1260;1319
7;MLPD;-;42
7;AfD;6766;8479
7;FREIE WÄHLER;-;786
7;Tierschutzpartei;-;1271
8;Wahlberechtigte;244240;244240
8;Wähler;183250;183250
8;Ungültige;1735;1660
8;Gültige;181515;181590
8;CDU;82471;74161
8;SPD;63998;54691
8;FDP;3722;10449
8;GRÜNE;11141;15695
8;DIE LINKE;7003;9112
8;PIRATEN;3546;3686
8;RENTNER;-;746
8;NPD;1190;1307
8;MLPD;-;46
8;AfD;6879;9034
8;FREIE WÄHLER;1565;1129
8;Tierschutzpartei;-;1534
9;Wahlberechtigte;180022;180022
9;Wähler;131939;131939
9;Ungültige;1551;1452
9;Gültige;130388;130487
9;CDU;59783;53705
9;SPD;48349;41134
9;FDP;2962;8036
9;GRÜNE;7145;10490
9;DIE LINKE;4469;5663
9;PIRATEN;2060;2111
9;RENTNER;-;489
9;NPD;723;737
9;MLPD;-;25
9;AfD;4897;6471
9;FREIE WÄHLER;-;709
9;Tierschutzpartei;-;917
10;Wahlberechtigte;241257;241257
10;Wähler;182982;182982
10;Ungültige;1708;1560
10;Gültige;181274;181422
10;CDU;81954;73603
10;SPD;62749;53944
10;FDP;3901;10878
10;GRÜNE;12774;16579
10;DIE LINKE;6834;8962
10;PIRATEN;2908;3031
10;RENTNER;-;634
10;NPD;1356;1377
10;MLPD;-;43
10;AfD;8351;10210
10;FREIE WÄHLER;-;776
10;Tierschutzpartei;-;1385
10;K:Heimann;447;-
11;Wahlberechtigte;181923;181923
11;Wähler;124711;124711
11;Ungültige;1563;1440
11;Gültige;123148;123271
11;CDU;44896;42218
11;SPD;50119;42083
11;FDP;2958;5857
11;GRÜNE;9475;13638
11;DIE LINKE;6662;7970
11;PIRATEN;2825;2994
11;RENTNER;-;422
11;NPD;948;974
