WK,Stimmen,Jahr,Partei
1,226944,2013,Wahlberechtigte
1,225216,2009,Wahlberechtigte
1,162749,2013,Wähler
1,163329,2009,Wähler
1,2223,2013,Ungültige
1,4117,2009,Ungültige
1,160526,2013,Gültige
1,159212,2009,Gültige
1,68235,2013,CDU
1,61793,2009,CDU
1,59718,2013,SPD
1,52139,2009,SPD
1,3039,2013,FDP
1,15292,2009,FDP
1,7436,2013,DIE LINKE
1,11918,2009,DIE LINKE
1,12491,2013,GRÜNE
1,16399,2009,GRÜNE
1,3418,2013,PIRATEN
1,955,2013,NPD
1,1302,2009,NPD
1,5234,2013,AfD
1,369,2009,Übrige
2,186177,2013,Wahlberechtigte
2,187047,2009,Wahlberechtigte
2,131527,2013,Wähler
2,134671,2009,Wähler
2,1648,2013,Ungültige
2,3382,2009,Ungültige
2,129879,2013,Gültige
2,131289,2009,Gültige
2,64678,2013,CDU
2,56751,2009,CDU
2,41714,2013,SPD
2,36642,2009,SPD
2,3172,2013,FDP
2,15184,2009,FDP
2,4653,2013,DIE LINKE
2,8208,2009,DIE LINKE
2,8465,2013,GRÜNE
2,12840,2009,GRÜNE
2,2467,2013,PIRATEN
2,757,2013,NPD
2,1231,2009,NPD
2,3973,2013,AfD
2,433,2009,Übrige
3,176731,2013,Wahlberechtigte
3,177604,2009,Wahlberechtigte
3,126409,2013,Wähler
3,128320,2009,Wähler
3,1523,2013,Ungültige
3,3348,2009,Ungültige
3,124886,2013,Gültige
3,124972,2009,Gültige
3,56669,2013,CDU
3,49779,2009,CDU
3,42476,2013,SPD
3,37277,2009,SPD
3,6324,2013,FDP
3,16037,2009,FDP
3,4909,2013,DIE LINKE
3,8896,2009,DIE LINKE
3,6386,2013,GRÜNE
3,10665,2009,GRÜNE
3,2674,2013,PIRATEN
3,980,2013,NPD
3,1603,2009,NPD
3,4468,2013,AfD
3,715,2009,Übrige
4,198903,2013,Wahlberechtigte
4,198910,2009,Wahlberechtigte
4,149583,2013,Wähler
4,150018,2009,Wähler
4,1743,2013,Ungültige
4,3404,2009,Ungültige
4,147840,2013,Gültige
4,146614,2009,Gültige
4,66775,2013,CDU
4,58876,2009,CDU
4,54397,2013,SPD
4,47610,2009,SPD
4,2754,2013,FDP
4,14317,2009,FDP
4,4902,2013,DIE LINKE
4,8729,2009,DIE LINKE
4,10306,2013,GRÜNE
4,14790,2009,GRÜNE
4,2756,2013,PIRATEN
4,866,2013,NPD
4,1344,2009,NPD
4,5084,2013,AfD
4,948,2009,Übrige
5,205243,2013,Wahlberechtigte
5,200347,2009,Wahlberechtigte
5,146452,2013,Wähler
5,145483,2009,Wähler
5,1674,2013,Ungültige
5,3442,2009,Ungültige
5,144778,2013,Gültige
5,142041,2009,Gültige
5,47925,2013,CDU
5,42733,2009,CDU
5,62271,2013,SPD
5,54398,2009,SPD
5,3069,2013,FDP
5,12188,2009,FDP
5,7622,2013,DIE LINKE
5,11817,2009,DIE LINKE
5,14435,2013,GRÜNE
5,18699,2009,GRÜNE
5,3575,2013,PIRATEN
5,834,2013,NPD
5,1392,2009,NPD
5,920,2013,RENTNER
5,4040,2013,AfD
5,87,2013,Übrige
5,814,2009,Übrige
6,174746,2013,Wahlberechtigte
6,175132,2009,Wahlberechtigte
6,127093,2013,Wähler
