Wkr.-Nr.;Wahlkreisname;WB09;WB13
1;Flensburg – Schleswig;225216;
2;Nordfriesland – Dithmarschen Nord;187047;
3;Steinburg – Dithmarschen Süd;177604;
4;Rendsburg-Eckernförde;198910;
5;Kiel;200347;
6;Plön – Neumünster;175132;
7;Pinneberg;232899;
8;Segeberg – Stormarn-Mitte;240010;
9;Ostholstein – Stormarn-Nord;179987;
10;Herzogtum Lauenburg – Stormarn-Süd;237144;
11;Lübeck;180424;
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;226 424;
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;217 571;
14;Rostock – Landkreis Rostock II;224 968;
15;Vorpommern-Rügen – Vorpommern-Greifswald I;253 514;
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;247 700;
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;230 121;
18;Hamburg-Mitte;249 150;
19;Hamburg-Altona;178 340;
20;Hamburg-Eimsbüttel;185 790;
21;Hamburg-Nord;207 016;
22;Hamburg-Wandsbek;217 147;
23;Hamburg-Bergedorf – Harburg;219 191;
24;Aurich – Emden;189 804;
25;Unterems;231 076;
26;Friesland – Wilhelmshaven – Wittmund;190 546;
27;Oldenburg – Ammerland;215 591;
28;Delmenhorst – Wesermarsch – Oldenburg-Land;226 440;
29;Cuxhaven – Stade II;189 058;
30;Stade I – Rotenburg II;192 956;
31;Mittelems;226 979;
32;Cloppenburg – Vechta;212 449;
33;Diepholz – Nienburg I;193 411;
34;Osterholz – Verden;192 320;
35;Rotenburg I – Heidekreis;168 573;
36;Harburg;191 159;
37;Lüchow-Dannenberg – Lüneburg;177 098;
38;Osnabrück-Land;197 143;
39;Stadt Osnabrück;192 473;
40;Nienburg II – Schaumburg;198 376;
41;Stadt Hannover I;180 088;
42;Stadt Hannover II;190 623;
43;Hannover-Land I;232 214;
44;Celle – Uelzen;217 316;
45;Gifhorn – Peine;216 957;
46;Hameln-Pyrmont – Holzminden;197 394;
47;Hannover-Land II;239 450;
48;Hildesheim;222 804;
49;Salzgitter – Wolfenbüttel;213 208;
50;Braunschweig;189 975;
51;Helmstedt – Wolfsburg;187 831;
52;Goslar – Northeim – Osterode;214 330;
53;Göttingen;224 468;
54;Bremen I;256 131;
55;Bremen II – Bremerhaven;231 847;
56;Prignitz – Ostprignitz-Ruppin – Havelland I;171 705;
57;Uckermark – Barnim I;168 604;
58;Oberhavel – Havelland II;249 983;
59;Märkisch-Oderland – Barnim II;255 845;
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;199 083;
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;239 221;
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;246 651;
63;Frankfurt (Oder) – Oder-Spree;208 525;
64;Cottbus – Spree-Neiße;196 389;
65;Elbe-Elster – Oberspreewald-Lausitz II;192 709;
66;Altmark;182 677;
67;Börde – Jerichower Land;239 481;
68;Harz;237 308;
69;Magdeburg;249 356;
70;Dessau – Wittenberg;197 289;
71;Anhalt;253 026;
72;Halle;223 268;
73;Burgenland – Saalekreis;214 081;
74;Mansfeld;232 086;
75;Berlin-Mitte;197 252;
76;Berlin-Pankow;232 250;
77;Berlin-Reinickendorf;183 112;
78;Berlin-Spandau – Charlottenburg Nord;184 436;
79;Berlin-Steglitz-Zehlendorf;217 335;
80;Berlin-Charlottenburg-Wilmersdorf;195 857;
81;Berlin-Tempelhof-Schöneberg;232 759;
82;Berlin-Neukölln;197 444;
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;222 647;
84;Berlin-Treptow-Köpenick;200 391;
85;Berlin-Marzahn-Hellersdorf;203 416;
86;Berlin-Lichtenberg;204 766;
87;Aachen I;176 885;
88;Aachen II;228 546;
89;Heinsberg;187 605;
90;Düren;199 907;
91;Rhein-Erft-Kreis I;245 417;
92;Euskirchen – Rhein-Erft-Kreis II;245 382;
93;Köln I;186 798;
94;Köln II;224 430;
95;Köln III;197 023;
96;Bonn;219 218;
97;Rhein-Sieg-Kreis I;231 404;
98;Rhein-Sieg-Kreis II;211 859;
99;Oberbergischer Kreis;211 963;
100;Rheinisch-Bergischer Kreis;215 582;
101;Leverkusen – Köln IV;213 303;
102;Wuppertal I;216 614;
103;Solingen – Remscheid – Wuppertal II;229 927;
104;Mettmann I;204 450;
105;Mettmann II;168 402;
106;Düsseldorf I;218 215;
107;Düsseldorf II;195 910;
108;Neuss I;213 950;
109;Mönchengladbach;194 294;
110;Krefeld I – Neuss II;204 291;
111;Viersen;227 805;
112;Kleve;226 029;
113;Wesel I;207 451;
114;Krefeld II – Wesel II;182 878;
115;Duisburg I;174 332;
116;Duisburg II;171 011;
117;Oberhausen – Wesel III;212 283;
118;Mülheim – Essen I;194 638;
119;Essen II;171 457;
120;Essen III;197 729;
121;Recklinghausen I;174 767;
122;Recklinghausen II;194 999;
123;Gelsenkirchen;187 486;
124;Steinfurt I – Borken I;200 304;
125;Bottrop – Recklinghausen III;208 655;
126;Borken II;196 659;
127;Coesfeld – Steinfurt II;189 353;
128;Steinfurt III;192 966;
129;Münster;210 934;
130;Warendorf;211 287;
