Id,Name,WB09,WB09,Land
1,Flensburg – Schleswig,225216,226944,1
2,Nordfriesland – Dithmarschen Nord,187047,186177,1
3,Steinburg – Dithmarschen Süd,177604,176731,1
4,Rendsburg-Eckernförde,198910,198903,1
5,Kiel,200347,205243,1
6,Plön – Neumünster,175132,174746,1
7,Pinneberg,232899,235610,1
8,Segeberg – Stormarn-Mitte,240010,244240,1
9,Ostholstein – Stormarn-Nord,179987,180022,1
10,Herzogtum Lauenburg – Stormarn-Süd,237144,241257,1
11,Lübeck,180424,181923,1
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,226424,256862,2
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,217571,182776,2
14,Rostock – Landkreis Rostock II,224968,189772,2
15,Vorpommern-Rügen – Vorpommern-Greifswald I,253514,211824,2
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,247700,218797,2
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,230121,221887,2
18,Hamburg-Mitte,249150,190987,3
19,Hamburg-Altona,178340,232784,3
20,Hamburg-Eimsbüttel,185790,190034,3
21,Hamburg-Nord,207016,220409,3
22,Hamburg-Wandsbek,217147,227719,3
23,Hamburg-Bergedorf – Harburg,219191,187640,3
24,Aurich – Emden,189804,194958,4
25,Unterems,231076,228051,4
26,Friesland – Wilhelmshaven – Wittmund,190546,216300,4
27,Oldenburg – Ammerland,215591,193097,4
28,Delmenhorst – Wesermarsch – Oldenburg-Land,226440,193643,4
29,Cuxhaven – Stade II,189058,167867,4
30,Stade I – Rotenburg II,192956,194856,4
31,Mittelems,226979,179069,4
32,Cloppenburg – Vechta,212449,197532,4
33,Diepholz – Nienburg I,193411,194231,4
34,Osterholz – Verden,192320,195948,4
35,Rotenburg I – Heidekreis,168573,181122,4
36,Harburg,191159,193157,4
37,Lüchow-Dannenberg – Lüneburg,177098,232941,4
38,Osnabrück-Land,197143,215285,4
39,Stadt Osnabrück,192473,217256,4
